iter	Passed	Remaining
0	49	19884
1	97	19361
2	150	19930
3	198	19613
4	256	20226
5	304	19999
6	358	20109
7	406	19920
8	459	19961
9	507	19788
10	565	19980
11	613	19821
12	668	19904
13	716	19746
14	768	19719
15	816	19587
16	870	19611
17	918	19495
18	972	19509
19	1019	19376
20	1074	19396
21	1122	19290
22	1177	19297
23	1225	19207
24	1280	19203
25	1329	19117
26	1383	19110
27	1432	19026
28	1486	19012
29	1536	18947
30	1591	18940
31	1641	18874
32	1710	19027
33	1760	18953
34	1815	18928
35	1864	18851
36	1923	18870
37	1971	18781
38	2027	18769
39	2076	18687
40	2133	18679
41	2181	18591
42	2239	18595
43	2293	18556
44	2348	18526
45	2398	18461
46	2453	18430
47	2502	18350
48	2556	18311
49	2603	18223
50	2716	18588
51	2766	18511
52	2821	18473
53	2870	18389
54	2924	18347
55	2971	18252
56	3027	18219
57	3076	18140
58	3134	18113
59	3181	18030
60	3236	17988
61	3285	17911
62	3339	17865
63	3386	17780
64	3442	17744
65	3490	17663
66	3543	17612
67	3590	17530
68	3644	17481
69	3692	17409
70	3747	17363
71	3794	17285
72	3848	17239
73	3899	17178
74	3961	17167
75	4012	17105
76	4077	17104
77	4130	17053
78	4188	17018
79	4238	16952
80	4295	16916
81	4345	16851
82	4399	16803
83	4447	16731
84	4500	16679
85	4548	16608
86	4602	16560
87	4648	16480
88	4703	16437
89	4752	16370
90	4808	16326
91	4858	16264
92	4915	16227
93	4962	16156
94	5018	16111
95	5068	16048
96	5124	16006
97	5170	15934
98	5225	15887
99	5273	15819
100	5328	15773
101	5375	15706
102	5430	15658
103	5477	15590
104	5548	15588
105	5595	15519
106	5648	15468
107	5698	15405
108	5754	15363
109	5804	15302
110	5861	15260
111	5908	15194
112	5965	15150
113	6012	15084
114	6070	15044
115	6118	14980
116	6172	14930
117	6220	14866
118	6277	14823
119	6323	14753
120	6376	14701
121	6425	14641
122	6480	14594
123	6529	14533
124	6587	14492
125	6637	14434
126	6693	14387
127	6738	14319
128	6794	14274
129	6842	14211
130	6897	14164
131	6946	14103
132	7001	14055
133	7048	13992
134	7103	13943
135	7149	13878
136	7202	13826
137	7254	13773
138	7308	13722
139	7357	13663
140	7411	13614
141	7458	13551
142	7511	13499
143	7557	13435
144	7611	13386
145	7659	13325
146	7714	13277
147	7763	13219
148	7817	13169
149	7865	13108
150	7921	13062
151	7970	13004
152	8034	12970
153	8082	12910
154	8136	12861
155	8184	12801
156	8243	12758
157	8291	12698
158	8344	12647
159	8392	12588
160	8446	12538
161	8493	12478
162	8547	12427
163	8595	12369
164	8648	12316
165	8695	12257
166	8749	12206
167	8796	12147
168	8851	12099
169	8898	12039
170	8953	11990
171	9003	11934
172	9057	11884
173	9105	11826
174	9162	11780
175	9210	11721
176	9267	11675
177	9312	11614
178	9365	11563
179	9408	11499
180	9462	11448
181	9510	11391
182	9567	11344
183	9613	11285
184	9668	11235
185	9715	11177
186	9771	11130
187	9819	11073
188	9874	11024
189	9922	10966
190	9977	10918
191	10025	10861
192	10081	10812
193	10128	10755
194	10185	10707
195	10233	10651
196	10286	10599
197	10337	10546
198	10391	10496
199	10440	10440
200	10494	10389
201	10541	10332
202	10593	10280
203	10643	10226
204	10701	10179
205	10749	10123
206	10803	10073
207	10850	10015
208	10904	9965
209	10953	9910
210	11008	9860
211	11056	9804
212	11109	9753
213	11156	9696
214	11213	9648
215	11274	9604
216	11333	9557
217	11382	9502
218	11434	9450
219	11481	9393
220	11535	9343
221	11583	9287
222	11637	9237
223	11685	9181
224	11739	9130
225	11786	9074
226	11840	9023
227	11888	8968
228	11951	8924
229	11999	8868
230	12053	8818
231	12101	8762
232	12156	8712
233	12203	8657
234	12261	8608
235	12307	8552
236	12359	8500
237	12408	8446
238	12463	8395
239	12511	8340
240	12564	8289
241	12611	8234
242	12665	8182
243	12713	8128
244	12766	8076
245	12814	8021
246	12867	7970
247	12915	7915
248	12969	7864
249	13018	7811
250	13072	7760
251	13120	7705
252	13173	7654
253	13221	7600
254	13274	7548
255	13320	7492
256	13371	7440
257	13418	7385
258	13471	7334
259	13519	7279
260	13573	7228
261	13620	7173
262	13673	7122
263	13719	7067
264	13774	7017
265	13819	6961
266	13872	6910
267	13919	6856
268	13974	6805
269	14024	6752
270	14090	6707
271	14138	6653
272	14192	6602
273	14244	6550
274	14298	6499
275	14347	6445
276	14399	6393
277	14445	6339
278	14498	6288
279	14545	6233
280	14599	6182
281	14646	6128
282	14700	6077
283	14748	6023
284	14800	5972
285	14847	5918
286	14901	5867
287	14948	5813
288	15001	5761
289	15050	5708
290	15105	5658
291	15154	5604
292	15210	5554
293	15257	5501
294	15311	5449
295	15358	5396
296	15411	5344
297	15458	5291
298	15512	5239
299	15559	5186
300	15615	5135
301	15662	5082
302	15717	5031
303	15764	4978
304	15817	4926
305	15877	4877
306	15932	4826
307	15980	4773
308	16034	4722
309	16080	4668
310	16133	4616
311	16180	4563
312	16237	4513
313	16291	4462
314	16344	4410
315	16390	4356
316	16441	4304
317	16487	4251
318	16557	4204
319	16603	4150
320	16656	4099
321	16703	4046
322	16757	3994
323	16804	3941
324	16858	3890
325	16903	3837
326	16957	3785
327	17004	3732
328	17058	3681
329	17108	3629
330	17163	3577
331	17215	3526
332	17268	3474
333	17317	3422
334	17371	3370
335	17417	3317
336	17470	3266
337	17519	3213
338	17572	3162
339	17619	3109
340	17670	3057
341	17716	3004
342	17771	2953
343	17816	2900
344	17873	2849
345	17918	2796
346	17973	2745
347	18016	2692
348	18069	2640
349	18119	2588
350	18175	2537
351	18227	2485
352	18281	2434
353	18326	2381
354	18379	2329
355	18425	2277
356	18495	2227
357	18542	2175
358	18597	2123
359	18643	2071
360	18700	2020
361	18746	1967
362	18798	1916
363	18843	1863
364	18896	1811
365	18943	1759
366	18997	1708
367	19044	1656
368	19097	1604
369	19142	1552
370	19195	1500
371	19245	1448
372	19296	1396
373	19341	1344
374	19395	1293
375	19440	1240
376	19494	1189
377	19543	1137
378	19598	1085
379	19646	1034
380	19698	982
381	19744	930
382	19798	878
383	19844	826
384	19898	775
385	19946	723
386	20000	671
387	20047	620
388	20103	568
389	20149	516
390	20206	465
391	20254	413
392	20306	361
393	20351	309
394	20404	258
395	20450	206
396	20503	154
397	20550	103
398	20605	51
399	20651	0
