feature,importance
L5VALUE_lag2,5.640452577233187
L5VALUE_lag3,5.632297497666921
L5VALUE_lag1,5.305336283711905
ACC_spt_sleep_mg_lag3,5.2924563842777115
ACC_spt_sleep_mg_lag2,4.1937946629288385
dur_day_min_lag1,3.3014542534305753
L10VALUE_lag1,3.2976804176506604
dur_day_min_lag2,3.2339567847894157
ACC_spt_sleep_mg_lag1,3.185390743341012
M5TIME_num_lag1,2.5681885889828955
L10TIME_num_lag2,2.522015613713845
dur_day_spt_min_lag1,2.5097587276079034
M10TIME_num_lag3,2.5011011932065474
L10TIME_num_lag1,2.4948527938897165
dur_day_min_lag3,2.3881885406784655
L5TIME_num_lag3,2.3268185052514085
M5TIME_num_lag3,2.206042238554016
M10TIME_num_lag1,2.0458543443984194
L10TIME_num_lag3,1.9846735032464657
M5TIME_num_lag2,1.9474464698340443
nonwear_perc_day_spt_lag1,1.8676249311068418
M5VALUE_lag1,1.7929318916461858
L5TIME_num_lag2,1.7194165397211985
nonwear_perc_day_spt_lag2,1.7158607434898758
dur_day_spt_min_lag2,1.7056565273662159
L10VALUE_lag3,1.6970218652291003
nonwear_perc_spt_lag2,1.6556563864959712
dur_day_spt_min_lag3,1.6493623414010805
L5TIME_num_lag1,1.5554875382754383
window_number,1.548404023595257
M10TIME_num_lag2,1.5076124269488005
M5VALUE_lag2,1.4663579501153523
L10VALUE_lag2,1.4270172430435082
nonwear_perc_spt_lag3,1.4251219610540948
M10VALUE_lag2,1.3439143569004144
nonwear_perc_spt_lag1,1.2775411075613516
M10VALUE_lag1,1.2328332653495988
nonwear_perc_day_spt_lag3,1.1392421690348444
M10VALUE_lag3,1.0853263352813913
M5VALUE_lag3,0.9537016633175628
night_number,0.8810324951490107
nonwear_perc_day_lag2,0.6447646163267551
dayofweek,0.5983352026336674
day,0.5738961822703733
nonwear_perc_day_lag1,0.5626571958734615
dayofyear,0.5357335764985273
weekday,0.4607218361639203
nonwear_perc_day_lag3,0.4576687181231962
excluded_lag2,0.3654666351453306
excluded_lag1,0.3429577346710237
excluded_lag3,0.2329144158167012
month,0.0
