feature,importance
sleep_efficiency_lag1,19.479636476879513
sleep_efficiency_lag2,16.773597178161182
sleep_efficiency_lag3,16.29522961036045
dur_spt_wake_IN_min_lag1,4.0054765058457455
dur_spt_sleep_min_lag3,2.7776810772757696
window_number,2.6212469666691436
dur_spt_wake_IN_min_lag2,2.320966717637842
dur_spt_sleep_min_lag2,1.9731583274154596
night_number,1.8932472811280248
nonwear_perc_spt_lag1,1.6994348923647156
dur_spt_min_lag2,1.5886810135346525
dur_spt_wake_IN_min_lag3,1.5349372068220728
nonwear_perc_day_spt_lag1,1.1717779232370653
nonwear_perc_spt_lag2,1.1131274314588517
dur_spt_min_lag1,1.112333969418806
nonwear_perc_spt_lag3,1.0291356196285042
dur_spt_sleep_min_lag1,0.986459035684549
dur_spt_min_lag3,0.9066536171745448
excluded_lag1,0.7261964879977163
M10VALUE_lag3,0.6756633622688618
sleeponset_lag2,0.6656308436224192
L10VALUE_lag2,0.6486705856619458
sleeponset_lag3,0.6171555153212496
dur_day_min_lag1,0.5251558375640002
L5VALUE_lag1,0.5018978262991637
ACC_spt_sleep_mg_lag1,0.5000765029105727
wakeup_lag1,0.49776071650258974
L5TIME_num_lag1,0.49491123888378424
L10TIME_num_lag1,0.4826374115733257
nonwear_perc_day_spt_lag2,0.47626626507357067
nonwear_perc_day_spt_lag3,0.46716357326671254
M5TIME_num_lag1,0.46391737788267945
excluded_lag3,0.46120932387887453
nonwear_perc_day_lag2,0.4518193842880019
dur_day_spt_min_lag1,0.4490552798506428
nonwear_perc_day_lag1,0.4472057480108768
M5TIME_num_lag2,0.4431706629126094
M10TIME_num_lag3,0.4425722037935861
nonwear_perc_day_lag3,0.4408206604396464
M10TIME_num_lag1,0.4245257722913587
M10VALUE_lag1,0.40416754901357904
M5VALUE_lag3,0.4039427025030065
weekday,0.396591839880612
L5TIME_num_lag3,0.3929240486924501
dur_spt_wake_LIG_min_lag1,0.39029484830523015
dayofweek,0.38574680409583506
excluded_lag2,0.379334866898826
M5TIME_num_lag3,0.3691615622298237
M5VALUE_lag2,0.35869881096421474
dur_day_min_lag3,0.35029410576857556
L5VALUE_lag2,0.350054324418193
dur_spt_wake_LIG_min_lag3,0.3465258218120787
L5TIME_num_lag2,0.3344519114462475
L10VALUE_lag3,0.3214117441355643
M10TIME_num_lag2,0.284794624936993
wakeup_lag2,0.28172517737153363
L10TIME_num_lag2,0.27466876513086996
sleeponset_lag1,0.272685979137615
L10VALUE_lag1,0.2536103024926719
dur_day_spt_min_lag3,0.2520900693532846
L10TIME_num_lag3,0.24702357387741897
dur_day_spt_min_lag2,0.23970356468027437
dur_spt_wake_MOD_min_lag1,0.23318900317300226
dur_day_min_lag2,0.22344534078931771
M5VALUE_lag1,0.21113338958412428
dur_spt_wake_MOD_min_lag3,0.19956517328277928
M10VALUE_lag2,0.1947407583681712
ACC_spt_sleep_mg_lag2,0.19102187801533854
dur_spt_wake_LIG_min_lag2,0.19022608859064527
L5VALUE_lag3,0.14117492513505756
dayofyear,0.12823550088380614
day,0.11787972810667073
ACC_spt_sleep_mg_lag3,0.11661161996381168
wakeup_lag3,0.08610239232812374
dur_spt_wake_MOD_min_lag2,0.07822051070963981
dur_spt_wake_VIG_min_lag2,0.01228726293351431
month,0.0
dur_spt_wake_VIG_min_lag1,0.0
dur_spt_wake_VIG_min_lag3,0.0
