feature,importance
dur_spt_wake_IN_min_lag1,19.943691660959402
dur_spt_wake_IN_min_lag2,14.117795642502097
dur_spt_wake_IN_min_lag3,13.549179750540544
dur_spt_sleep_min_lag3,7.140298779934191
dur_spt_sleep_min_lag2,6.27155365251974
dur_spt_sleep_min_lag1,5.779271363504457
dur_spt_min_lag2,2.0215111726421657
dur_spt_wake_LIG_min_lag2,1.7644517578889112
night_number,1.7105085201506747
window_number,1.6093928958872514
dur_spt_wake_LIG_min_lag3,1.4901938661333913
nonwear_perc_day_spt_lag1,1.3912902901109543
dur_spt_min_lag3,1.3025491792562236
nonwear_perc_spt_lag2,1.1294980897938682
nonwear_perc_spt_lag1,1.0522370364038927
L5VALUE_lag1,0.9233334789583509
nonwear_perc_spt_lag3,0.9201494777355073
dur_day_min_lag1,0.727397711644201
wakeup_lag1,0.6934285207662637
sleeponset_lag2,0.6378178749737993
M5TIME_num_lag1,0.612758655647615
excluded_lag1,0.5708922163405851
M5TIME_num_lag2,0.5480125405567982
dur_spt_min_lag1,0.5355642676358541
ACC_spt_sleep_mg_lag1,0.49496390022526315
L5VALUE_lag2,0.48141816762772316
sleeponset_lag3,0.4754216993145212
dur_spt_wake_LIG_min_lag1,0.4401737106071027
M10TIME_num_lag1,0.42693076545957026
nonwear_perc_day_spt_lag2,0.42211500049129147
dur_day_spt_min_lag2,0.4213117249403928
L10TIME_num_lag3,0.40568047832343584
nonwear_perc_day_lag2,0.4009146976456288
ACC_spt_sleep_mg_lag3,0.3961877635584814
dur_day_min_lag3,0.38298710241555545
L5VALUE_lag3,0.3714732646305901
sleeponset_lag1,0.3648278865766354
L5TIME_num_lag3,0.36465794663549733
nonwear_perc_day_spt_lag3,0.36445278776420914
dur_day_spt_min_lag3,0.3587286034012662
weekday,0.33242154013159353
M10TIME_num_lag3,0.31997847774508253
dur_day_min_lag2,0.31820258659285205
M10TIME_num_lag2,0.3115133361481365
dayofweek,0.30932931500222427
L10VALUE_lag3,0.2887241728061078
L10TIME_num_lag1,0.27922854449895146
nonwear_perc_day_lag3,0.2728626647114873
M5VALUE_lag3,0.26855820143093034
M10VALUE_lag2,0.2650585823951957
L10TIME_num_lag2,0.2608836102948407
dayofyear,0.25666851178069966
L5TIME_num_lag1,0.2512579267155005
M5VALUE_lag2,0.2392443714196221
M5TIME_num_lag3,0.23384480491042234
dur_day_spt_min_lag1,0.23059460497972362
M10VALUE_lag3,0.2201361496587001
M5VALUE_lag1,0.20953031088165655
day,0.20246686907591754
M10VALUE_lag1,0.20145916262850996
excluded_lag3,0.1926346420192327
wakeup_lag3,0.18973977491879357
ACC_spt_sleep_mg_lag2,0.1890168017811355
wakeup_lag2,0.17724521010630467
L10VALUE_lag2,0.1618506884383562
nonwear_perc_day_lag1,0.14912038413457768
excluded_lag2,0.13983566436348807
dur_spt_wake_MOD_min_lag3,0.11753847962714851
L10VALUE_lag1,0.09948249051615841
dur_spt_wake_MOD_min_lag2,0.09151327521912642
dur_spt_wake_MOD_min_lag1,0.08761549061551342
L5TIME_num_lag2,0.08654858326600323
dur_spt_wake_VIG_min_lag2,0.02480134150775992
dur_spt_wake_VIG_min_lag1,0.003492491426110043
dur_spt_wake_VIG_min_lag3,0.0025770361483002237
month,0.0
