feature,importance
dur_spt_wake_IN_min_lag1,21.836379629726178
dur_spt_wake_IN_min_lag2,16.524165113852963
dur_spt_wake_IN_min_lag3,12.916185782812267
dur_spt_sleep_min_lag3,7.960450967013036
dur_spt_sleep_min_lag2,7.0880390227852805
dur_spt_sleep_min_lag1,4.212255633910747
window_number,2.137001691739403
dur_spt_wake_LIG_min_lag2,1.4533292313044892
dur_spt_wake_LIG_min_lag3,1.3611845741587385
dur_spt_min_lag1,1.3594133480315767
nonwear_perc_spt_lag2,1.35100727742382
nonwear_perc_spt_lag1,1.2788258067626594
dur_spt_min_lag2,1.170959622761327
L5VALUE_lag2,1.0949598270886785
dur_spt_min_lag3,1.0852113051739136
nonwear_perc_day_spt_lag2,0.8450995350200489
nonwear_perc_spt_lag3,0.8413616500703793
nonwear_perc_day_spt_lag1,0.762920109395153
night_number,0.7449529966139163
L5VALUE_lag1,0.6944450011154134
dur_day_min_lag1,0.6729595647023253
M5TIME_num_lag1,0.5969277671065729
dur_day_min_lag2,0.5823425189286225
L5TIME_num_lag2,0.5542589750095785
wakeup_lag1,0.5307536811224952
M5TIME_num_lag3,0.5201770249814357
dur_spt_wake_LIG_min_lag1,0.4755827166516875
L10TIME_num_lag3,0.4579955570621501
sleeponset_lag2,0.4557937305282868
dur_day_spt_min_lag1,0.45553916658165594
sleeponset_lag1,0.42745197416056024
sleeponset_lag3,0.390722246587491
L10VALUE_lag1,0.36994546901208186
wakeup_lag3,0.3687513510726159
L5TIME_num_lag3,0.36643076533147667
ACC_spt_sleep_mg_lag1,0.3640173648554695
dur_day_min_lag3,0.35186422010995233
excluded_lag1,0.350214992826612
M10TIME_num_lag2,0.34097568731088823
M10VALUE_lag2,0.3264956730671828
M10TIME_num_lag3,0.3034121728939978
L10VALUE_lag3,0.3019370621841197
L10TIME_num_lag1,0.26225543268371493
M5VALUE_lag2,0.2345194927133956
dur_day_spt_min_lag3,0.22605736437237042
ACC_spt_sleep_mg_lag3,0.22141420710414236
dayofweek,0.21184743780821033
M5TIME_num_lag2,0.20629982110608033
L10TIME_num_lag2,0.20495923090219884
dayofyear,0.19666575193478394
M5VALUE_lag3,0.1854446056468707
nonwear_perc_day_lag1,0.17769271584010338
nonwear_perc_day_spt_lag3,0.1684547411259015
nonwear_perc_day_lag2,0.16524869432377617
M10VALUE_lag3,0.16361563128610748
L5VALUE_lag3,0.15356029239159924
M10TIME_num_lag1,0.14772172314282572
dur_spt_wake_MOD_min_lag3,0.14181938048240703
excluded_lag3,0.1277058071667772
ACC_spt_sleep_mg_lag2,0.11983582935281534
dur_day_spt_min_lag2,0.10530794560043871
wakeup_lag2,0.07481569382645024
L10VALUE_lag2,0.04957514265014052
dur_spt_wake_MOD_min_lag1,0.036227930695253874
day,0.03306499055147728
dur_spt_wake_VIG_min_lag1,0.030200751480085736
M10VALUE_lag1,0.024600110934112896
excluded_lag2,0.022085459269529394
L5TIME_num_lag1,0.0184860995321642
dur_spt_wake_VIG_min_lag3,0.006203698098230526
dur_spt_wake_MOD_min_lag2,0.001616209130812511
weekday,0.0
month,0.0
M5VALUE_lag1,0.0
nonwear_perc_day_lag3,0.0
dur_spt_wake_VIG_min_lag2,0.0
